Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1360,2,1,1981,0.59963664,0,5,262382.8523
4272,3,3,2016,4.753013849,1,6,985260.8545
3592,1,2,2016,3.63482272,0,9,777977.3901
966,1,2,1977,2.730666876,1,8,229698.9187
4926,2,1,1993,4.699072555,0,8,1041740.859
3944,5,3,1990,2.475930044,2,8,879796.9835
3671,1,2,2012,4.911960066,0,1,814427.8614
3419,1,1,1972,2.805281408,1,1,703413.1109
630,3,3,1997,1.014285965,1,8,173875.0372
2185,4,2,1981,3.941604376,2,5,504176.5061
1269,2,2,2006,3.555039763,1,9,335332.5928
2891,2,3,1982,3.978440246,0,2,635097.3959
2933,5,3,1973,4.781489129,2,9,701133.8041
1684,5,3,1988,3.994201862,1,8,440726.2848
3885,2,3,1983,3.25101471,1,9,838719.4305
4617,5,1,2005,4.357890061,0,4,1019192.661
3404,3,3,1977,3.529608977,0,1,735850.8123
974,2,2,1986,2.336535756,2,1,234261.65
1582,5,2,1956,4.485288939,1,5,396246.3589
3058,2,1,2017,1.498552074,0,2,672852.052
2547,4,2,1986,3.715885737,2,8,586086.5685
3247,1,2,2005,4.467035547,1,10,740174.0147
1475,2,3,2014,3.790924339,1,5,370167.0909
2306,1,2,2014,3.637739386,2,5,530824.1968
689,5,1,1996,3.886872323,2,2,227515.3003
3234,1,3,1969,2.592748617,0,7,652166.1424
3505,2,3,1968,4.43376807,1,8,745670.6371
2399,4,1,1978,1.415464138,1,10,513161.9512
1767,5,3,2009,1.073238872,1,1,432357.9061
2028,2,3,1967,1.784789511,2,2,434165.8966
3702,5,1,1984,2.892098285,0,10,809686.2011
4056,3,3,1992,2.797528079,1,4,883819.0911
4390,1,1,1960,4.19269441,2,5,912468.0479
1146,3,1,1998,2.320558954,1,2,281313.0614
3388,2,2,1987,2.679549918,0,1,705923.3149
2935,4,2,2013,0.560154575,1,9,656980.4604
1100,5,3,2018,2.343826564,0,1,318266.2771
2863,1,3,1957,3.414984048,0,4,582468.7977
2561,5,1,1983,0.569787488,1,2,541967.6336
741,2,3,1997,1.763968843,1,4,188531.4235
2541,5,1,2005,1.435803617,0,8,565562.7504
3324,1,1,2014,0.68893443,2,8,697574.5557
3112,2,3,1980,2.656670405,0,9,666733.4735
1863,5,1,1953,1.31775482,1,5,376388.0216
1978,4,2,1999,3.843866928,1,7,485380.9502
3056,2,3,2018,4.315675477,2,3,735678.4622
1275,2,2,1979,2.955133322,0,10,296291.001
4514,4,3,2008,4.917683041,0,4,1046315.896
534,3,1,2016,2.527153572,0,10,187508.5853
3652,1,3,1994,2.810156946,1,9,793995.2849
2455,3,2,1953,4.951479893,0,10,527393.5129
2085,5,1,1975,1.541967962,2,10,467768.1229
4443,4,3,1976,4.741456729,1,1,981190.7829
3573,3,3,1995,0.692768998,1,2,750481.7169
